idindonesia,tanggal,countryregion,confirmed,deaths,recovered,treated,daily_confirmed,daily_deaths,daily_recovered
492,2021-06-20,Indonesia,1989909,54662,1792528,142719,13737,371,6385
493,2021-06-21,Indonesia,2004445,54956,1801761,147728,14536,294,9233
494,2021-06-22,Indonesia,2018113,55291,1810136,152686,13668,335,8375
495,2021-06-23,Indonesia,2033421,55594,1817303,160524,15308,303,7167
496,2021-06-24,Indonesia,2053995,55949,1826504,171542,20574,355,9201
497,2021-06-25,Indonesia,2072867,56371,1835061,181435,18872,422,8557
498,2021-06-26,Indonesia,2093962,56729,1842457,194776,21095,358,7396
499,2021-06-27,Indonesia,2115304,57138,1850481,207685,21342,409,8024
500,2021-06-28,Indonesia,2135998,57561,1859961,218476,20694,423,9480
501,2021-06-29,Indonesia,2156465,58024,1869606,228835,20467,463,9645
502,2021-06-30,Indonesia,2178272,58491,1880413,239368,21807,467,10807
503,2021-07-01,Indonesia,2203108,58995,1890287,253826,24836,504,9874
504,2021-07-02,Indonesia,2228938,59534,1901865,267539,25830,539,11578
505,2021-07-03,Indonesia,2256851,60027,1915147,281677,27913,493,13282
506,2021-07-04,Indonesia,2284084,60582,1928274,295228,27233,555,13127
507,2021-07-05,Indonesia,2313829,61140,1942690,309999,29745,558,14416
508,2021-07-06,Indonesia,2345018,61868,1958553,324597,31189,728,15863
509,2021-07-07,Indonesia,2379397,62908,1973388,343101,34379,1040,14835
510,2021-07-08,Indonesia,2417788,63760,1994573,359455,38391,852,21185
511,2021-07-09,Indonesia,2455912,64631,2023548,367733,38124,871,28975
512,2021-07-10,Indonesia,2491006,65457,2052109,373440,35094,826,28561
513,2021-07-11,Indonesia,2527203,66464,2084724,376015,36197,1007,32615
514,2021-07-12,Indonesia,2567630,67355,2119478,380797,40427,891,34754
515,2021-07-13,Indonesia,2615529,68219,2139601,407709,47899,864,20123
516,2021-07-14,Indonesia,2670046,69210,2157363,443473,54517,991,17762
517,2021-07-15,Indonesia,2726803,70192,2176412,480199,56757,982,19049
518,2021-07-16,Indonesia,2780803,71397,2204491,504915,54000,1205,28079
519,2021-07-17,Indonesia,2832755,72489,2232394,527872,51952,1092,27903
520,2021-07-18,Indonesia,2877476,73582,2261658,542236,44721,1093,29264
521,2021-07-19,Indonesia,2911733,74920,2293875,542938,34257,1338,32217
522,2021-07-20,Indonesia,2950058,76200,2323666,550192,38325,1280,29791
523,2021-07-21,Indonesia,2983830,77583,2356553,549694,33772,1383,32887
524,2021-07-22,Indonesia,3033339,79032,2392923,561384,49509,1449,36370
525,2021-07-23,Indonesia,3082410,80598,2431911,569901,49071,1566,38988
526,2021-07-24,Indonesia,3127826,82013,2471678,574135,45416,1415,39767
527,2021-07-25,Indonesia,3166505,83279,2509318,573908,38679,1266,37640
528,2021-07-26,Indonesia,3194733,84766,2549692,560275,28228,1487,40374
529,2021-07-27,Indonesia,3239936,86835,2596820,556281,45203,2069,47128
530,2021-07-28,Indonesia,3287727,88659,2640676,558392,47791,1824,43856
531,2021-07-29,Indonesia,3331206,90552,2686170,554484,43479,1893,45494
532,2021-07-30,Indonesia,3372374,92311,2730720,549343,41168,1759,44550
533,2021-07-31,Indonesia,3409658,94119,2770092,545447,37284,1808,39372
534,2021-08-01,Indonesia,3440396,95723,2809538,535135,30738,1604,39446
535,2021-08-02,Indonesia,3462800,97291,2842345,523164,22404,1568,32807
536,2021-08-03,Indonesia,3496700,98889,2873669,524142,33900,1598,31324
537,2021-08-04,Indonesia,3532567,100636,2907920,524011,35867,1747,34251
538,2021-08-05,Indonesia,3568331,102375,0,3465956,35764,1739,-2907920
539,2021-08-06,Indonesia,3607863,104010,0,3503853,39532,1635,0
540,2021-08-07,Indonesia,3639616,105598,0,3534018,31753,1588,0
541,2021-08-08,Indonesia,3666031,107096,0,3558935,26415,1498,0
542,2021-08-09,Indonesia,3686740,108571,0,3578169,20709,1475,0
543,2021-08-10,Indonesia,3718821,110619,0,3608202,32081,2048,0
544,2021-08-11,Indonesia,3749446,112198,0,3637248,30625,1579,0
545,2021-08-12,Indonesia,3774155,113664,0,3660491,24709,1466,0
546,2021-08-13,Indonesia,3804943,115096,0,3689847,30788,1432,0
547,2021-08-14,Indonesia,3833541,116366,0,3717175,28598,1270,0
548,2021-08-15,Indonesia,3854354,117588,0,3736766,20813,1222,0
549,2021-08-16,Indonesia,3871738,118833,0,3752905,17384,1245,0
550,2021-08-17,Indonesia,3892479,120013,0,3772466,20741,1180,0
551,2021-08-18,Indonesia,3908247,121141,0,3787106,15768,1128,0
552,2021-08-19,Indonesia,3930300,122633,0,3807667,22053,1492,0
553,2021-08-20,Indonesia,3950304,123981,0,3826323,20004,1348,0
554,2021-08-21,Indonesia,3967048,125342,0,3841706,16744,1361,0
555,2021-08-22,Indonesia,3979456,126372,0,3853084,12408,1030,0
556,2021-08-23,Indonesia,3989060,127214,0,3861846,9604,842,0
557,2021-08-24,Indonesia,4008166,128252,0,3879914,19106,1038,0
558,2021-08-25,Indonesia,4026837,129293,0,3897544,18671,1041,0
559,2021-08-26,Indonesia,4043736,130182,0,3913554,16899,889,0
560,2021-08-27,Indonesia,4056354,130781,0,3925573,12618,599,0
561,2021-08-28,Indonesia,4066404,131372,0,3935032,10050,591,0
562,2021-08-29,Indonesia,4073831,131923,0,3941908,7427,551,0
563,2021-08-30,Indonesia,4079267,132491,0,3946776,5436,568,0
564,2021-08-31,Indonesia,4089801,133023,0,3956778,10534,532,0
565,2021-09-01,Indonesia,4100138,133676,0,3966462,10337,653,0
566,2021-09-02,Indonesia,4109093,134303,0,3966462,8955,627,0
567,2021-09-03,Indonesia,4116890,134930,0,3981960,7797,627,0
568,2021-09-04,Indonesia,4123617,135469,0,3988148,6727,539,0
569,2021-09-05,Indonesia,4129020,135861,0,3993159,5403,392,0
570,2021-09-06,Indonesia,4133433,136473,0,3996960,4413,612,0
571,2021-09-07,Indonesia,4140634,137156,0,4003478,7201,683,0
572,2021-09-08,Indonesia,4147365,137782,0,4009583,6731,626,0
573,2021-09-09,Indonesia,4153355,138116,0,4015239,5990,334,0
574,2021-09-10,Indonesia,4158731,138431,0,4020300,5376,315,0
575,2021-09-11,Indonesia,4163732,138701,0,4025031,5001,270,0
576,2021-09-12,Indonesia,4167511,138889,0,4028622,3779,188,0
577,2021-09-13,Indonesia,4170088,139165,0,4030923,2577,276,0
578,2021-09-14,Indonesia,4174216,139415,0,4034801,4128,250,0
579,2021-09-15,Indonesia,4178164,139682,0,4038482,3948,267,0
